"unified_registry_id` bigint NOT NULL","entity_type` varchar(64) NOT NULL","entity_index` bigint NOT NULL","entity_key` varchar(255)","entity_name` varchar(255)","entity_table` varchar(128) NOT NULL","federation_node_id` bigint NOT NULL DEFAULT 1","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","is_active` tinyint NOT NULL DEFAULT 1","is_kernel` tinyint NOT NULL DEFAULT 0","metadata_json` json"
9001209,actor,1209,COUNTERFACT,"Counterfactual Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1209, ""actor_source_type"": ""lupo_agent_registry""}"
9001210,actor,1210,OPTIMIZE,"Optimization Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1210, ""actor_source_type"": ""lupo_agent_registry""}"
9001211,actor,1211,DIVERGE,"Divergence Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1211, ""actor_source_type"": ""lupo_agent_registry""}"
9001212,actor,1212,UTC_TIMEKEEPER,UTC_TIMEKEEPER,lupo_agent_registry,1,20260114000000,20260114000000,0,,1,1,"{""actor_source_id"": 1212, ""actor_source_type"": ""lupo_agent_registry""}"
9010000,actor,10000,user-10000,Captain,lupo_actors,1,20260217230000,20260217230000,0,,1,0,"{""actor_source_type"": ""user""}"
9050000,content,5000,docs/doctrine/AGENT_BOUNDARIES_COMPACT.md,"AGENT BOUNDARIES COMPACT",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050001,content,5001,docs/doctrine/AI_AGENT_BOOT_NOTES.md,"AI AGENT BOOT NOTES",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050002,content,5002,docs/doctrine/ANUBIS/ANUBIS_IMPLEMENTATION_SUMMARY.md,"ANUBIS IMPLEMENTATION SUMMARY",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050003,content,5003,docs/doctrine/ANUBIS/ANUBIS_ORPHAN_RULES.md,"ANUBIS ORPHAN RULES",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050004,content,5004,docs/doctrine/ANUBIS/ANUBIS_OVERVIEW.md,"ANUBIS OVERVIEW",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050005,content,5005,docs/doctrine/ANUBIS/ANUBIS_PROGRAM_SPEC.md,"ANUBIS PROGRAM SPEC",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050006,content,5006,docs/doctrine/CASCADE_TABLE_CEILING_PROTOCOL.md,"CASCADE TABLE CEILING PROTOCOL",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050007,content,5007,docs/doctrine/CLASS_CONVERSION_DOCTRINE.md,"CLASS CONVERSION DOCTRINE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050008,content,5008,docs/doctrine/COMPATIBILITY_MATRIX.md,"COMPATIBILITY MATRIX",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050009,content,5009,docs/doctrine/CONSOLIDATION_VALIDATION_REQUIREMENTS.md,"CONSOLIDATION VALIDATION REQUIREMENTS",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050010,content,5010,docs/doctrine/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST.md,"CRAFTY SYNTAX IMPORT IMPLEMENTATION CHECKLIST",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050011,content,5011,docs/doctrine/CRAFTY_SYNTAX_INTEGRATION_PLAN.md,"CRAFTY SYNTAX INTEGRATION PLAN",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050012,content,5012,docs/doctrine/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF.md,"CRAFTY SYNTAX MIGRATION PROJECT BRIEF",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050013,content,5013,docs/doctrine/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN.md,"CRAFTY SYNTAX STATE BASED IMPLEMENTATION PLAN",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050014,content,5014,docs/doctrine/DEVELOPMENT_WORKFLOW_DOCTRINE.md,"DEVELOPMENT WORKFLOW DOCTRINE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050015,content,5015,docs/doctrine/DOCTRINE_FILE_STRUCTURE.md,"DOCTRINE FILE STRUCTURE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050016,content,5016,docs/doctrine/DOCTRINE_TABLES_TRANSITION_NOTE.md,"DOCTRINE TABLES TRANSITION NOTE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050017,content,5017,docs/doctrine/ETHICAL_STATE_MARKERS_DOCTRINE.md,"ETHICAL STATE MARKERS DOCTRINE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050018,content,5018,docs/doctrine/FILESYSTEM_MIGRATION_GUIDE.md,"FILESYSTEM MIGRATION GUIDE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050019,content,5019,docs/doctrine/FLIP/FLP_COUNCILS_AS_CHANNELS.md,"FLP COUNCILS AS CHANNELS",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050020,content,5020,docs/doctrine/FLIP/FLP_DOCTRINE_BOUNDARIES.md,"FLP DOCTRINE BOUNDARIES",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050021,content,5021,docs/doctrine/FLIP/FLP_EMOTIONAL_AGGREGATION.md,"FLP EMOTIONAL AGGREGATION",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050022,content,5022,docs/doctrine/FLIP/FLP_EMOTIONAL_GEOMETRY.md,"FLP EMOTIONAL GEOMETRY",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050023,content,5023,docs/doctrine/FLIP/FLP_ESCROW_AND_FUND_LAYER.md,"FLP ESCROW AND FUND LAYER",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050024,content,5024,docs/doctrine/FLIP/FLP_HETERODOX_REVIEWERS.md,"FLP HETERODOX REVIEWERS",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050025,content,5025,docs/doctrine/FLIP/FLP_LUPOPEDIA_COUNCIL_SEAT.md,"FLP LUPOPEDIA COUNCIL SEAT",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050026,content,5026,docs/doctrine/FLIP/FLP_OVERVIEW.md,"FLP OVERVIEW",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050027,content,5027,docs/doctrine/FLIP/NOTE_HEADER_VERSION_AND_MERGE.md,"NOTE HEADER VERSION AND MERGE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050028,content,5028,docs/doctrine/FLIP/README.md,README,lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050029,content,5029,docs/doctrine/IMPORT_FROM_CRAFTY_TROUBLESHOOTING.md,"IMPORT FROM CRAFTY TROUBLESHOOTING",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050030,content,5030,docs/doctrine/ANUBIS/LILITH_ANUBIS_GUIDANCE.md,"LILITH ANUBIS GUIDANCE",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050031,content,5031,docs/doctrine/ANUBIS/LILITH_ANUBIS_GUIDANCE_FLIP.md,"LILITH ANUBIS GUIDANCE FLIP",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050032,content,5032,dialog:34,"FLIP metadata dialog 34",lupo_contents,1,20260217230000,20260217230000,0,,1,0,"{""atoms"": {""kapakai"": 0.1, ""recovery_event"": true}, ""mood_rgb"": ""D2BEFA"", ""dialog_message_id"": 34}"
9050033,content,5033,docs/api/FLIP_API.md,"FLIP API",lupo_contents,1,20260217230000,20260217230000,0,,1,0,"{""tags"": [""lost"", ""orphan"", ""doctrine""], ""atoms"": {""recovery_event"": true}, ""mood_rgb"": ""FFDAB9""}"
9050034,content,5034,channel:0:flip,"FLP CHANNEL 0",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050035,content,5035,channel:42:flip,"FLP CHANNEL 42",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050036,content,5036,channel:51:flip,"FLP CHANNEL 51",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050037,content,5037,channel:666:flip,"FLP CHANNEL 666",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
9050038,content,5038,docs/doctrine/4.0.17_DIAGNOSTICS_AND_COMPATIBILITY.md,"4.0.17 Diagnostics and Compatibility",lupo_contents,1,20260217230000,20260217230000,0,,1,0,
